Profiling for 30 seconds
Done
--- Execution profile ---
Total samples       : 226
          ns  percent  samples  top
  ----------  -------  -------  ---
    36000000   15.93%       36  __psynch_cvwait
    13000000    5.75%       13  ca.spottedleaf.concurrentutil.scheduler.EDFSchedulerThreadPool$TickThreadRunner.run
    11000000    4.87%       11  ca.spottedleaf.moonrise.common.time.TickData.addDataFrom
     8000000    3.54%        8  mach_msg2_trap
     6000000    2.65%        6  io.papermc.paper.threadedregions.TickRegionScheduler$RegionScheduleHandle.runTick
     5000000    2.21%        5  I2C/C2I adapters
     3000000    1.33%        3  java.util.HashMap$Values.forEach
     3000000    1.33%        3  poll
     3000000    1.33%        3  mach_absolute_time
     3000000    1.33%        3  clock_gettime
     3000000    1.33%        3  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap.get
     3000000    1.33%        3  java.util.PriorityQueue.siftUpUsingComparator
     2000000    0.88%        2  SymbolTable::do_lookup
     2000000    0.88%        2  java.util.concurrent.ConcurrentLinkedQueue.poll
     2000000    0.88%        2  InterpreterRuntime::exception_handler_for_exception
     2000000    0.88%        2  io.papermc.paper.threadedregions.scheduler.FoliaGlobalRegionScheduler.tick
     2000000    0.88%        2  java.util.concurrent.locks.LockSupport.parkNanos
     2000000    0.88%        2  io.papermc.paper.threadedregions.TickRegionScheduler$RegionScheduleHandle.addTickTime
     2000000    0.88%        2  io.papermc.paper.threadedregions.RegionizedServer.tickClocks
     2000000    0.88%        2  JavaThreadParkedState::JavaThreadParkedState
     2000000    0.88%        2  io.netty.channel.kqueue.KQueueIoHandler.kqueueWait
     2000000    0.88%        2  io.netty.channel.SingleThreadIoEventLoop.access$300
     2000000    0.88%        2  jdk.internal.misc.Unsafe.park
     2000000    0.88%        2  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.processTicketUpdates
     2000000    0.88%        2  net.minecraft.world.clock.ServerClockManager.tick
     2000000    0.88%        2  ca.spottedleaf.moonrise.common.time.Schedule.advanceBy
     2000000    0.88%        2  ca.spottedleaf.concurrentutil.set.LinkedSortedSet.addLast
     2000000    0.88%        2  net.minecraft.world.level.Level.canHaveWeather
     2000000    0.88%        2  NodeHash::hash_find_insert
     2000000    0.88%        2  _tlv_get_addr
     2000000    0.88%        2  os::current_thread_enable_wx
     2000000    0.88%        2  Unsafe_Park
     1000000    0.44%        1  AddPNode::Opcode
     1000000    0.44%        1  vtable stub
     1000000    0.44%        1  PhaseCFG::schedule_node_into_block
     1000000    0.44%        1  PhaseChaitin::Split
     1000000    0.44%        1  PhaseChaitin::post_allocate_copy_removal
     1000000    0.44%        1  PhaseIdealLoop::get_early_ctrl
     1000000    0.44%        1  PhaseIdealLoop::has_node
     1000000    0.44%        1  PhaseIdealLoop::split_if_with_blocks
     1000000    0.44%        1  PhaseIterGVN::subsume_node
     1000000    0.44%        1  PhiNode::Opcode
     1000000    0.44%        1  Pipeline_Use::full_latency
     1000000    0.44%        1  SafepointMechanism::update_poll_values
     1000000    0.44%        1  Parker::park
     1000000    0.44%        1  Type::Initialize_shared(Compile*)::$_0::__invoke
     1000000    0.44%        1  TypeKlassPtr::klass_is_exact
     1000000    0.44%        1  TypeNarrowPtr::singleton
     1000000    0.44%        1  TypeOopPtr::TypeOopPtr
     1000000    0.44%        1  TypeTuple::hash
     1000000    0.44%        1  TypeTuple::singleton
     1000000    0.44%        1  OopMapValue::write_on
     1000000    0.44%        1  __gettimeofday
     1000000    0.44%        1  __open
     1000000    0.44%        1  ObjectMonitor::wait
     1000000    0.44%        1  _platform_memmove
     1000000    0.44%        1  _platform_strncmp$VARIANT$Base
     1000000    0.44%        1  ObjectMonitor::spin_enter
     1000000    0.44%        1  _xzm_xzone_malloc
     1000000    0.44%        1  Node::dominates
     1000000    0.44%        1  ca.spottedleaf.concurrentutil.scheduler.SchedulableTick.getScheduledStart
     1000000    0.44%        1  Node::del_req
     1000000    0.44%        1  ca.spottedleaf.concurrentutil.set.LinkedSortedSet.remove
     1000000    0.44%        1  ca.spottedleaf.concurrentutil.util.TimeUtil.getGreatestTime
     1000000    0.44%        1  Monitor::wait_without_safepoint_check
     1000000    0.44%        1  MergeMemNode::Opcode
     1000000    0.44%        1  MemAllocator::allocate
     1000000    0.44%        1  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ThreadedTicketLevelPropagator$UpdateQueue.peek
     1000000    0.44%        1  ciObjectFactory::get_symbol
     1000000    0.44%        1  MemAllocator::Allocation::notify_allocation_jvmti_sampler
     1000000    0.44%        1  LightweightSynchronizer::quick_enter
     1000000    0.44%        1  io.netty.channel.SingleThreadIoEventLoop.runIo
     1000000    0.44%        1  LightweightSynchronizer::exit
     1000000    0.44%        1  io.netty.util.concurrent.AbstractScheduledEventExecutor.peekScheduledTask
     1000000    0.44%        1  JavaThread::dec_held_monitor_count
     1000000    0.44%        1  JVM_NanoTime
