--- Execution profile ---
Total samples       : 3619

          ns  percent  samples  top
  ----------  -------  -------  ---
   118000000    3.26%      118  write
    89000000    2.46%       89  ca.spottedleaf.concurrentutil.map.ConcurrentLong2ReferenceChainedHashTable.getNode
    80000000    2.21%       80  io.papermc.paper.threadedregions.TickRegionScheduler.getCurrentRegionizedWorldData
    77000000    2.13%       77  it.unimi.dsi.fastutil.objects.Reference2IntOpenHashMap.containsKey
    71000000    1.96%       71  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.randomTick
    65000000    1.80%       65  __psynch_cvwait
    59000000    1.63%       59  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getCollisionShape
    51000000    1.41%       51  it.unimi.dsi.fastutil.longs.Long2ReferenceOpenHashMap.get
    46000000    1.27%       46  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.ChunkEntitySlices$EntityCollectionBySection.getEntities
    45000000    1.24%       45  net.minecraft.world.level.chunk.LevelChunk$BoundTickingBlockEntity.tick
    42000000    1.16%       42  net.minecraft.world.entity.Mob.getItemBySlot
    42000000    1.16%       42  net.minecraft.world.level.chunk.LevelChunk$RebindableTickingBlockEntityWrapper.tick
    33000000    0.91%       33  it.unimi.dsi.fastutil.objects.ReferenceOpenHashSet.contains
    33000000    0.91%       33  ca.spottedleaf.concurrentutil.map.SWMRLong2ObjectHashTable.getEntryForOpaque
    28000000    0.77%       28  net.minecraft.world.entity.Entity.updateFluidHeightAndDoFluidPushing
    27000000    0.75%       27  itable stub
    27000000    0.75%       27  mach_absolute_time
    26000000    0.72%       26  net.minecraft.server.MinecraftServer.tickServer
    26000000    0.72%       26  mach_msg2_trap
    26000000    0.72%       26  net.minecraft.server.level.ChunkMap$TrackedEntity.moonrise$tick
    25000000    0.69%       25  net.minecraft.world.entity.LivingEntity.isAlive
    24000000    0.66%       24  vtable stub
    23000000    0.64%       23  G1CollectionSet::iterate
    23000000    0.64%       23  ca.spottedleaf.moonrise.common.util.TickThread.isTickThreadFor
    22000000    0.61%       22  net.minecraft.world.level.chunk.PalettedContainer.get
    22000000    0.61%       22  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap.getOrDefault
    21000000    0.58%       21  net.minecraft.util.Mth.floor
    21000000    0.58%       21  org.bukkit.craftbukkit.entity.CraftItem.getHandleRaw
    20000000    0.55%       20  net.minecraft.world.entity.ai.goal.WrappedGoal.requiresUpdateEveryTick
    20000000    0.55%       20  net.minecraft.server.level.ChunkMap.playerIsCloseEnoughForSpawning
    20000000    0.55%       20  net.minecraft.world.level.block.SpreadingSnowyDirtBlock.randomTick
    19000000    0.53%       19  net.minecraft.server.level.ChunkMap.updatePlayerMobTypeMap
    18000000    0.50%       18  org.bukkit.craftbukkit.entity.CraftFallingBlock.getHandleRaw
    18000000    0.50%       18  kevent
    18000000    0.50%       18  net.minecraft.server.level.ServerEntity.sendChanges
    18000000    0.50%       18  net.minecraft.world.level.NaturalSpawner.lambda$createState$2
    18000000    0.50%       18  net.minecraft.network.syncher.SynchedEntityData.getItem
    17000000    0.47%       17  java.util.HashMap.getNode
    16000000    0.44%       16  org.bukkit.craftbukkit.entity.CraftCreeper.getHandleRaw
    16000000    0.44%       16  net.minecraft.world.entity.Entity.getType
    16000000    0.44%       16  net.minecraft.world.entity.Entity.getOnPos
    15000000    0.41%       15  org.bukkit.craftbukkit.entity.CraftSkeleton.getHandleRaw
    14000000    0.39%       14  G1ConcurrentRefine::RemSetSamplingClosure::do_heap_region
    14000000    0.39%       14  net.minecraft.server.level.ChunkMap$TrackedEntity.updatePlayer
    14000000    0.39%       14  InstanceKlass::find_method_index
    13000000    0.36%       13  net.minecraft.world.entity.LivingEntity.collectEquipmentChanges
    13000000    0.36%       13  org.bukkit.craftbukkit.entity.CraftBat.getHandleRaw
    12000000    0.33%       12  net.minecraft.world.level.NaturalSpawner.createState
    11000000    0.30%       11  net.minecraft.world.level.NaturalSpawner.spawnCategoryForPosition
    11000000    0.30%       11  org.bukkit.craftbukkit.entity.CraftCod.getHandleRaw
    11000000    0.30%       11  arrayof_jint_disjoint_arraycopy
    11000000    0.30%       11  io.papermc.paper.threadedregions.EntityScheduler.executeTick
    11000000    0.30%       11  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet$SetIterator.next
    11000000    0.30%       11  net.minecraft.world.entity.ai.goal.GoalSelector.tick
    11000000    0.30%       11  com.google.common.collect.RegularImmutableMap.get
    11000000    0.30%       11  org.bukkit.craftbukkit.entity.CraftZombie.getHandleRaw
    10000000    0.28%       10  java.util.Arrays$ArrayList.get
    10000000    0.28%       10  io.netty.channel.nio.NioEventLoop.run
    10000000    0.28%       10  net.minecraft.world.level.NaturalSpawner.spawnCategoryForChunk
    10000000    0.28%       10  java.util.Random.nextInt
