Profiling for 30 seconds
Done
--- Execution profile ---
Total samples       : 279
          ns  percent  samples  top
  ----------  -------  -------  ---
    23000000    8.24%       23  __psynch_cvwait
    17000000    6.09%       17  ca.spottedleaf.concurrentutil.scheduler.EDFSchedulerThreadPool$TickThreadRunner.run
     8000000    2.87%        8  mach_msg2_trap
     6000000    2.15%        6  java.util.concurrent.CopyOnWriteArrayList.toArray
     5000000    1.79%        5  net.minecraft.server.level.ServerLevel.advanceWeatherCycle
     5000000    1.79%        5  I2C/C2I adapters
     4000000    1.43%        4  java.util.HashSet.remove
     4000000    1.43%        4  JVM_Clone
     4000000    1.43%        4  G1BarrierSet::write_region
     3000000    1.08%        3  pthread_jit_write_protect_np
     3000000    1.08%        3  __gettimeofday
     3000000    1.08%        3  ca.spottedleaf.concurrentutil.set.LinkedSortedSet.addLast
     3000000    1.08%        3  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.processTicketUpdates
     3000000    1.08%        3  MemAllocator::allocate
     3000000    1.08%        3  net.minecraft.world.attribute.EnvironmentAttributeSystem.getValueSampler
     3000000    1.08%        3  io.papermc.paper.threadedregions.RegionizedServer.globalTick
     3000000    1.08%        3  java.lang.ThreadLocal$ThreadLocalMap.getEntry
     3000000    1.08%        3  java.util.PriorityQueue.siftUpUsingComparator
     2000000    0.72%        2  PhaseChaitin::gather_lrg_masks
     2000000    0.72%        2  PhaseIdealLoop::build_loop_late_post_work
     2000000    0.72%        2  java.util.PriorityQueue.offer
     2000000    0.72%        2  java.util.HashMap$Values.forEach
     2000000    0.72%        2  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite.setRelease
     2000000    0.72%        2  java.lang.invoke.DirectMethodHandle.allocateInstance
     2000000    0.72%        2  java.util.concurrent.locks.LockSupport.parkNanos
     2000000    0.72%        2  net.minecraft.network.PacketProcessor.executeSinglePacket
     2000000    0.72%        2  java.lang.Thread.sleepNanos0
     2000000    0.72%        2  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap.get
     2000000    0.72%        2  Java_sun_management_ThreadImpl_getThreadTotalCpuTime0
     2000000    0.72%        2  io.papermc.paper.world.saveddata.PaperLevelOverrides.syncRootData
     2000000    0.72%        2  io.papermc.paper.world.saveddata.PaperLevelOverrides$$Lambda.0x00003ffc0226bcb8.accept
     2000000    0.72%        2  io.papermc.paper.threadedregions.scheduler.FoliaGlobalRegionScheduler.tick
     2000000    0.72%        2  io.papermc.paper.threadedregions.TickRegionScheduler$RegionScheduleHandle.runTick
     2000000    0.72%        2  net.minecraft.server.players.SleepStatus.areEnoughSleeping
     2000000    0.72%        2  net.minecraft.world.clock.ServerClockManager$$Lambda.0x00003ffc02269dd0.accept
     2000000    0.72%        2  net.minecraft.world.level.Level.dimensionType
     2000000    0.72%        2  os::javaTimeNanos
     2000000    0.72%        2  CallStaticJavaNode::Opcode
     2000000    0.72%        2  ObjArrayAllocator::initialize
